================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: DDOG (DATADOG INC.)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Datadog subió +90% en mayo. Plataforma de observabilidad y seguridad impulsada por IA. Guidance de revenue elevado. Q1 resultados muy por encima de estimaciones.
- Catalizadores: Bank of America PT $260. Demanda "best-of-breed" infraestructura software. Nuevos deals masivos de IA. Crecimiento revenue >30%.
- Riesgos: Competencia (New Relic, Splunk). Valoración elevada después del rally. Posible desaceleración de gasto enterprise.
- Confianza inicial: 56% (gran momentum pero rally muy vertical).
- Punto ciego: Correlación con gasto cloud hyperscaler - cualquier desaceleración afectaría.

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $196.45 | Variacion: 0.74% | Prob: 63% | Conf: 56%
[2026-06-02] GH 04:52 - Precio: $195.27 | Var: 0.14% | Prob: 63%
[2026-06-02] GH 04:58 - Precio: $194.84 | Var: -0.08% | Prob: 63%
[2026-06-02] INTRA 05:08 - $277.49 | 12.19% | Prob: 63%
[2026-06-02] INTRA 05:17 - $277.49 | 12.19% | Prob: 63% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $277.49 | 12.19% | Prob: 76% | Monitoreo de observabilidad en la nube sigue ganando tracción.
[2026-06-02] INTRA 05:33 - $277.49 | 12.19% | Prob: 95% | Crecimiento en observabilidad de sistemas con alta demanda en cloud
[2026-06-02] INTRA 05:39 - $277.49 | 12.19% | Prob: 95% | Crecimiento estable en monitoreo de infraestructuras.
[2026-06-02] INTRA 05:41 - $277.49 | 12.19% | Prob: 95% | Crecimiento en ciberseguridad y adopción empresarial
[2026-06-02] INTRA 06:23 - $277.49 | 12.19% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $277.49 | 12.19% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $277.49 | 12.19% | Prob: 95% | RSI 89.8, MACD alcista, MA50 77.8%, FedRAMP win, fuerte demanda gubernamental.
[2026-06-02] INTRA 07:05 - $277.49 | 12.19% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $236.54 | -1.03% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $240.44 | 0.6% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $238.66 | -0.14% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $238.29 | -0.3% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $269.13 | -3.01% | Prob: 86% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $269.13 | -3.01% | Prob: 79% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $269.13 | -3.01% | Prob: 73% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $269.13 | -3.01% | Prob: 69% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $269.13 | -3.01% | Prob: 64% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $269.13 | -3.01% | Prob: 61% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $269.13 | -3.01% | Prob: 57% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $248.76 | -7.57% | Prob: 55% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $248.55 | -7.65% | Prob: 52% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $250.33 | -6.99% | Prob: 43% | Uptrend, RSI 69.8, MACD alcista; Sentimiento IA neutral y precisión baja (39%).
[2026-06-03] INTRA 22:05 - $250.33 | -6.99% | Prob: 40% | RSI 69.8, MACD alcista, pero sentimiento IA negativo fuerte y precisión 37%; riesgo a corto plazo.
[2026-06-03] INTRA 23:07 - $250.33 | -6.99% | Prob: 48% | RSI 69.8, tendencia alcista, pero entorno macro y noticias de tensiones geopolíticas añaden riesgo.
[2026-06-04] INTRA 04:37 - $250.33 | -6.99% | Prob: 38% | RSI 69.8, alta volatilidad, pero tendencia alcista; noticias negativas reducen confianza.
[2026-06-04] INTRA 16:28 - $247.4 | -1.17% | Prob: 39% | RSI 69, MACD bullish pero sentimiento IA negativo (-0.65) y precisión 41%; riesgo moderado.
[2026-06-04] INTRA 18:00 - $246.51 | -1.53% | Prob: 36% | Sentimiento IA negativo y macro incierta; RSI 68.7, MACD alcista pero alta valoración (PE 601).
[2026-06-04] INTRA 19:33 - $245.74 | -1.83% | Prob: 63% | RSI 68.3, tendencia alcista, pero IA negativo por Broadcom; precisión media.
[2026-06-04] INTRA 21:12 - $243.6 | -2.69% | Prob: 44% | RSI 67.3, MACD alcista, pero sentimiento neutral y alta valoración (PE 595).
[2026-06-04] INTRA 22:27 - $243.6 | -2.69% | Prob: 54% | RSI 67, uptrend, pero sentimiento neutral y alta valoración (PE 595).
[2026-06-04] INTRA 23:15 - $243.6 | -2.69% | Prob: 42% | RSI 67.3, tendencia alcista pero con presión de Broadcom y precisión 41% para DDOG.
[2026-06-05] INTRA 16:10 - $235.49 | -3.33% | Prob: 42% | Venta de insiders por $90M y PER 575 generan dudas sobre sostenibilidad; RSI 61.4 aún permite consolidación bajista ante falta de catalizadores.
[2026-06-05] INTRA 17:40 - $232.93 | -4.38% | Prob: 43% | RSI 60 y MACD alcista, pero venta interna de $90M y precisión moderada (41%).
[2026-06-05] INTRA 19:09 - $232.27 | -4.65% | Prob: 35% | RSI 60, MACD alcista, pero insiders vendieron $90M y sentimiento IA negativo; precisión 40% sugiere riesgo.
