BITACORA LLY - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Eli Lilly (Healthcare/Pharma). GLP-1 Mounjaro/Zepbound. Foundayo oral pill FDA approved.
[2026-06-02] INTRA 05:08 - $1082.2 | -2.06% | Prob: 57%
[2026-06-02] INTRA 05:17 - $1082.2 | -2.06% | Prob: 57% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $1082.2 | -2.06% | Prob: 71% | Cartera de medicamentos innovadores y fuerte flujo de caja.
[2026-06-02] INTRA 05:33 - $1082.2 | -2.06% | Prob: 95% | Eli Lilly lidera en desarrollo de fármacos con IA para investigación clínica
[2026-06-02] INTRA 05:39 - $1082.2 | -2.06% | Prob: 59% | Estabilidad en ingresos farmacéuticos.
[2026-06-02] INTRA 05:41 - $1082.2 | -2.06% | Prob: 45% | Farmacéutica con enfoque en innovación, menor volatilidad
[2026-06-02] INTRA 06:23 - $1082.2 | -2.06% | Prob: 32% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $1082.2 | -2.06% | Prob: 16% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $1082.2 | -2.06% | Prob: 20% | RSI 72.2, MACD alcista, MA50 13.1%, noticias neutrales, demanda moderada.
[2026-06-02] INTRA 07:05 - $1082.2 | -2.06% | Prob: 30% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $222.13 | 0.51% | Prob: 30% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $218.52 | -1.12% | Prob: 30% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $224.23 | 1.46% | Prob: 27% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $218.11 | -1.31% | Prob: 25% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $1064.15 | -1.67% | Prob: 23% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $1064.15 | -1.67% | Prob: 22% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $1064.15 | -1.67% | Prob: 21% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $1064.15 | -1.67% | Prob: 20% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $1064.15 | -1.67% | Prob: 19% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $1064.15 | -1.67% | Prob: 18% | Analisis basado en datos de mercado.
