BITACORA MSFT - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Microsoft (Azure AI/Copilot). Azure AI growth, Copilot enterprise. Build conference catalysts.
[2026-06-02] INTRA 05:08 - $460.52 | 2.28% | Prob: 63%
[2026-06-02] INTRA 05:17 - $460.52 | 2.28% | Prob: 63% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $460.52 | 2.28% | Prob: 86% | Liderazgo en cloud, IA y productividad empresarial.
[2026-06-02] INTRA 05:33 - $460.52 | 2.28% | Prob: 95% | Microsoft lidera en cloud empresarial con Azure y IA integrada
[2026-06-02] INTRA 05:39 - $460.52 | 2.28% | Prob: 95% | Crecimiento robusto en Azure y Office 365.
[2026-06-02] INTRA 05:41 - $460.52 | 2.28% | Prob: 95% | Dominio en nube y soluciones de IA empresarial
[2026-06-02] INTRA 06:23 - $460.52 | 2.28% | Prob: 91% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $460.52 | 2.28% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $460.52 | 2.28% | Prob: 95% | RSI 76.8, MACD alcista, MA50 14.1%, noticias neutrales, demanda AI.
[2026-06-02] INTRA 07:05 - $460.52 | 2.28% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $241.55 | 1.07% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $239.51 | 0.21% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $236.35 | -1.11% | Prob: 71% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $239.44 | 0.18% | Prob: 67% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $441.31 | -4.17% | Prob: 63% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $441.31 | -4.17% | Prob: 60% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $441.31 | -4.17% | Prob: 57% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $441.31 | -4.17% | Prob: 55% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $441.31 | -4.17% | Prob: 52% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $441.31 | -4.17% | Prob: 63% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $441.31 | -4.17% | Prob: 49% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $426.87 | -3.27% | Prob: 47% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $428.39 | -2.93% | Prob: 45% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $427.34 | -3.17% | Prob: 42% | Ligera alza, RSI 59.9, MACD alcista; Sentimiento IA no especificado, precisión 35%.
[2026-06-03] INTRA 22:05 - $427.34 | -3.17% | Prob: 39% | RSI 59.9, MACD alcista, IA negativo; soporte técnico y alta capitalización mantienen estabilidad.
[2026-06-03] INTRA 23:07 - $427.34 | -3.17% | Prob: 38% | RSI 59.9, ligera-alcista, MACD alcista, pero sentimiento negativo (-0.65) y precisión baja (32%).
[2026-06-04] INTRA 04:37 - $427.34 | -3.17% | Prob: 34% | RSI 60, MACD alcista, pero precisión 31% y presión de tipos hacen la proyección moderada.
[2026-06-04] INTRA 16:28 - $429.36 | 0.47% | Prob: 44% | RSI 59, MACD bullish, precisión 33% y sentimiento IA positivo; alza moderada.
[2026-06-04] INTRA 18:00 - $427.27 | -0.02% | Prob: 38% | RSI 58.3, ligera-alcista, pero IA negativo y precisión 36%; sigue siendo defensiva.
[2026-06-04] INTRA 19:33 - $427.7 | 0.08% | Prob: 43% | RSI 58.5, ligera alza, IA negativo (-0.3) pero fundamentals fuertes; precisión baja.
[2026-06-04] INTRA 21:12 - $428.05 | 0.17% | Prob: 44% | RSI 58.6, MACD alcista, partnership AI con OpenAI, buen impulso técnico.
