BITACORA PANW - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Palo Alto Networks (Ciberseguridad). AI-powered security. Platformization strategy.
[2026-06-02] INTRA 05:08 - $300.48 | 6.67% | Prob: 56%
[2026-06-02] INTRA 05:17 - $300.48 | 6.67% | Prob: 56% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $300.48 | 6.67% | Prob: 74% | Plataforma de seguridad integral con crecimiento en suscripciones.
[2026-06-02] INTRA 05:33 - $300.48 | 6.67% | Prob: 95% | Palo Alto Networks lidera en ciberseguridad con crecimiento en endpoints
[2026-06-02] INTRA 05:39 - $300.48 | 6.67% | Prob: 95% | Crecimiento en seguridad de redes.
[2026-06-02] INTRA 05:41 - $300.48 | 6.67% | Prob: 95% | Liderazgo en ciberseguridad empresarial
[2026-06-02] INTRA 06:23 - $300.48 | 6.67% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $300.48 | 6.67% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $300.48 | 6.67% | Prob: 95% | RSI 84.5, MACD alcista, MA50 54.9%, noticias neutrales, demanda AI.
[2026-06-02] INTRA 07:05 - $300.48 | 6.67% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $215.72 | -1.05% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $215.7 | -1.06% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $219.12 | 0.51% | Prob: 94% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $218.28 | 0.13% | Prob: 84% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $297.18 | -1.1% | Prob: 77% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $297.18 | -1.1% | Prob: 70% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $297.18 | -1.1% | Prob: 65% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $297.18 | -1.1% | Prob: 61% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $297.18 | -1.1% | Prob: 57% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $297.18 | -1.1% | Prob: 54% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $297.18 | -1.1% | Prob: 51% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $279.51 | -5.95% | Prob: 49% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $279.33 | -6.01% | Prob: 46% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $280.43 | -5.64% | Prob: 44% | Uptrend, RSI 70, MACD alcista; Sentimiento IA neutral y precisión baja (39%).
[2026-06-03] INTRA 22:05 - $280.43 | -5.64% | Prob: 46% | RSI 70, MACD alcista, sentimiento IA positivo para ciberseguridad; soporte técnico sólido.
[2026-06-03] INTRA 23:07 - $280.43 | -5.64% | Prob: 38% | RSI 70, tendencia alcista, pero guía de CrowdStrike y sentimiento negativo limitan upside.
[2026-06-04] INTRA 04:37 - $280.43 | -5.64% | Prob: 40% | RSI 70, MACD alcista, sentimiento IA positivo y precios objetivo al alza tras aumento de demanda de seguridad IA.
[2026-06-04] INTRA 16:28 - $271.29 | -3.26% | Prob: 35% | RSI 63, MACD bullish, pero sentimiento mixto y precisión 32%; riesgo moderado.
[2026-06-04] INTRA 18:00 - $274.3 | -2.19% | Prob: 33% | RSI 64.3, tendencia alcista, pero sentimiento neutral y precisión 30%; AI revenue up pero pérdidas.
[2026-06-04] INTRA 19:33 - $280.43 | 0% | Prob: 43% | RSI 67.1, tendencia alcista, IA positivo (0.62) pero precisión baja; riesgo moderado.
[2026-06-04] INTRA 21:12 - $279.25 | -0.42% | Prob: 40% | RSI 66.7, MACD alcista, sentimiento IA positivo (0.75) y buen impulso técnico.
[2026-06-04] INTRA 22:27 - $279.25 | -0.42% | Prob: 44% | RSI medio, MACD alcista, 52w high, noticias positivas de Palo Alto
[2026-06-04] INTRA 23:15 - $279.25 | -0.42% | Prob: 44% | RSI 66.7, tendencia alcista, sentimiento IA positivo (0.75) y buen potencial con AI, precisión 33% sector.
[2026-06-05] INTRA 16:10 - $276.54 | -0.97% | Prob: 35% | Rapid share price surge genera preguntas de valoración, pero sentimiento IA positivo y momentum técnico sostienen leve sesgo alcista.
[2026-06-05] INTRA 17:40 - $274.53 | -1.69% | Prob: 37% | RSI 63, MACD alcista, pero precisión baja (34%) y sentimiento Reddit negativo.
[2026-06-05] INTRA 19:09 - $272.93 | -2.26% | Prob: 38% | RSI 62.3, tendencia alcista, pero precisión 37% y sentimiento mixto; riesgo moderado.
[2026-06-05] INTRA 21:06 - $272.05 | -2.58% | Prob: 42% | Sentimiento IA +0.7, RSI 62, tendencia alcista fuerte; outlook robusto.
