iter	Passed	Remaining
0	61	12282
1	75	7500
2	89	5861
3	103	5066
4	111	4363
5	119	3858
6	126	3498
7	134	3238
8	142	3026
9	150	2863
10	158	2725
11	166	2605
12	174	2514
13	183	2432
14	191	2360
15	199	2292
16	207	2230
17	214	2169
18	222	2120
19	230	2077
20	243	2075
21	260	2105
22	273	2102
23	280	2060
24	288	2020
25	296	1985
26	304	1953
27	312	1921
28	320	1890
29	328	1862
30	336	1836
31	345	1811
32	352	1785
33	360	1760
34	368	1737
35	376	1716
36	384	1695
37	392	1674
38	401	1656
39	408	1635
40	417	1619
41	425	1600
42	433	1582
43	441	1563
44	449	1547
45	457	1531
46	465	1515
47	473	1499
48	481	1483
49	493	1481
50	510	1491
51	523	1490
52	540	1497
53	551	1490
54	559	1473
55	566	1457
56	575	1442
57	583	1427
58	591	1412
59	600	1401
60	608	1387
61	616	1372
62	624	1358
63	632	1344
64	641	1331
65	649	1318
66	657	1304
67	665	1292
68	674	1280
69	682	1267
70	690	1254
71	698	1240
72	705	1227
73	713	1215
74	721	1203
75	729	1190
76	738	1179
77	752	1176
78	769	1177
79	782	1173
80	799	1175
81	816	1175
82	832	1173
83	846	1169
84	864	1169
85	880	1167
86	894	1161
87	910	1159
88	924	1153
89	941	1150
90	954	1143
91	970	1139
92	984	1132
93	1001	1129
94	1017	1124
95	1034	1120
96	1048	1113
97	1064	1108
98	1078	1099
99	1095	1095
100	1110	1088
101	1123	1079
102	1139	1073
103	1155	1066
104	1175	1063
105	1188	1054
106	1203	1046
107	1208	1029
108	1213	1012
109	1218	996
110	1223	980
111	1227	964
112	1232	949
113	1237	933
114	1242	918
115	1247	903
116	1252	888
117	1257	873
118	1262	859
119	1266	844
120	1271	830
121	1276	816
122	1281	802
123	1286	788
124	1291	774
125	1296	761
126	1308	752
127	1316	740
128	1324	729
129	1332	717
130	1340	706
131	1348	694
132	1356	683
133	1364	672
134	1372	660
135	1380	649
136	1389	638
137	1397	627
138	1405	616
139	1413	605
140	1421	594
141	1430	584
142	1438	573
143	1445	562
144	1455	552
145	1461	540
146	1470	530
147	1477	519
148	1485	508
149	1492	497
150	1500	486
151	1508	476
152	1516	465
153	1524	455
154	1532	444
155	1540	434
156	1547	423
157	1555	413
158	1563	403
159	1571	392
160	1579	382
161	1587	372
162	1595	362
163	1603	352
164	1611	341
165	1619	331
166	1629	321
167	1637	311
168	1644	301
169	1653	291
170	1661	281
171	1668	271
172	1677	261
173	1685	251
174	1692	241
175	1700	231
176	1709	222
177	1716	212
178	1724	202
179	1732	192
180	1740	182
181	1748	172
182	1756	163
183	1767	153
184	1780	144
185	1799	135
186	1814	126
187	1831	116
188	1844	107
189	1858	97
190	1873	88
191	1892	78
192	1907	69
193	1925	59
194	1941	49
195	1959	39
196	1979	30
197	1994	20
198	2010	10
199	2026	0
